price,neighborhood_name,administritive_area,city,rooms,bathrooms,sqm,elevator,bool,driver,garden
1000000.0,Uqaz,Riyadh, South Riyadh,5,6,315.0,0,0,0,0
1420000.0,Ar Rimal,Riyadh, East Riyadh,4,3,286.0,0,0,1,0
1050000.0,Al Maizilah,Riyadh, East Riyadh,4,5,200.0,0,0,0,0
1320000.0,Al Maizilah,Riyadh, East Riyadh,5,4,275.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,4,4,300.0,0,0,0,0
1680000.0,Al Qadisiyah,Riyadh, East Riyadh,5,5,375.0,0,0,0,0
1200000.0,Ar Rimal,Riyadh, East Riyadh,4,4,300.0,0,0,0,0
820000.0,Badr,Riyadh, South Riyadh,6,6,350.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,4,3,287.0,0,0,0,0
870000.0,Al Ghoroub,Riyadh, West Riyadh,4,5,205.0,0,0,0,0
1450000.0,Tuwaiq,Riyadh, West Riyadh,5,5,460.0,0,0,1,0
1550000.0,An Nahdah,Riyadh, East Riyadh,4,2,375.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,5,6,309.0,0,0,0,0
1070000.0,Ar Rimal,Riyadh, East Riyadh,5,4,288.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,5,4,300.0,0,0,0,0
1350000.0,Al Mahdiyah,Riyadh, West Riyadh,5,5,200.0,0,0,0,0
850000.0,Badr,Riyadh, South Riyadh,6,6,250.0,0,0,0,0
1350000.0,Ar Rimal,Riyadh, East Riyadh,3,6,300.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,4,4,240.0,0,0,0,0
950000.0,Uqaz,Riyadh, South Riyadh,3,5,350.0,0,0,0,0
1150000.0,Badr,Riyadh, South Riyadh,3,4,372.0,0,0,0,0
1130000.0,Ash Sharq,Riyadh, East Riyadh,3,3,432.0,0,0,0,0
1050000.0,Al Hazm,Riyadh, South Riyadh,5,5,264.0,0,0,0,0
1700000.0,Al Yarmuk,Riyadh, East Riyadh,4,3,300.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,5,4,300.0,0,0,0,0
1080000.0,Al Ghoroub,Riyadh, West Riyadh,4,5,238.0,0,0,0,0
880000.0,Tuwaiq,Riyadh, West Riyadh,5,5,205.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,4,6,387.0,0,0,0,0
1300000.0,Al Hamadaniyah,Makkah, Jeddah,6,7,300.0,1,1,1,0
1200000.0,Ar Rimal,Riyadh, East Riyadh,4,6,260.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,7,300.0,0,0,0,0
930000.0,Tuwaiq,Riyadh, West Riyadh,5,5,200.0,0,0,0,0
1070000.0,Ar Rimal,Riyadh, East Riyadh,5,5,288.0,0,0,0,0
820000.0,Badr,Riyadh, South Riyadh,6,6,350.0,0,0,0,0
1200000.0,Al Ghoroub,Riyadh, West Riyadh,4,5,280.0,0,0,0,0
870000.0,Al Ghoroub,Riyadh, West Riyadh,4,5,205.0,0,0,0,0
2950000.0,Al Basatin,Makkah, Jeddah,7,6,312.0,0,1,1,0
2000500.0,Ash Shati,Makkah, Jeddah,5,6,274.0,0,0,1,0
2500000.0,An Nahdah,Makkah, Jeddah,5,7,360.0,0,0,0,0
1700000.0,Al Quds,Riyadh, East Riyadh,4,3,262.0,0,0,0,0
3400000.0,As Safa,Makkah, Jeddah,7,6,890.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,3,279.0,1,0,1,0
1100000.0,Uqaz,Riyadh, South Riyadh,6,6,300.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,7,6,250.0,0,0,0,0
2400000.0,An Narjis,Riyadh, North Riyadh,6,5,378.0,1,0,0,0
950000.0,Dirab,Riyadh, South Riyadh,4,5,250.0,0,0,0,0
1600000.0,Al Munsiyah,Riyadh, East Riyadh,4,6,288.0,0,0,0,0
1350000.0,Ar Rimal,Riyadh, East Riyadh,5,6,350.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,3,287.0,0,0,0,0
800000.0,Taibah,Riyadh, South Riyadh,5,5,207.0,0,0,0,0
1350000.0,Ar Rimal,Riyadh, East Riyadh,5,4,275.0,0,0,0,0
1350000.0,Ar Rimal,Riyadh, East Riyadh,6,6,376.0,0,0,0,0
1590000.0,Al Munsiyah,Riyadh, East Riyadh,4,5,288.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,4,2,286.0,0,0,0,0
1450000.0,Al Awali,Riyadh, Al Riyadh,4,5,450.0,0,0,0,0
1500000.0,Al Yarmuk,Riyadh, East Riyadh,6,6,250.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,4,4,243.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,6,6,250.0,0,0,0,0
